DRG Code,DRG Name/Description,Medical Specialty,Body System,Severity Level,Procedure Type,Cost Tier
282,Acute Myocardial Infarction Discharged Alive without CC/MCC,Cardiology,Circulatory System,Minor,Medical,Medium
286,Circulatory Disorders Except AMI with Cardiac Catheterization with MCC,Cardiology,Circulatory System,Major,Medical,High
287,Circulatory Disorders Except AMI with Cardiac Catheterization without MCC,Cardiology,Circulatory System,Moderate,Medical,Medium
291,Heart Failure & Shock with MCC,Cardiology,Circulatory System,Major,Medical,High
292,Heart Failure & Shock with CC,Cardiology,Circulatory System,Moderate,Medical,Medium
293,Heart Failure & Shock without CC/MCC,Cardiology,Circulatory System,Minor,Medical,Low
300,Peripheral Vascular Disorders with MCC,Vascular Medicine,Circulatory System,Major,Medical,High
301,Peripheral Vascular Disorders with CC,Vascular Medicine,Circulatory System,Moderate,Medical,Medium
302,Peripheral Vascular Disorders without CC/MCC,Vascular Medicine,Circulatory System,Minor,Medical,Medium
303,Atherosclerosis with MCC,Vascular Medicine,Circulatory System,Major,Medical,High
304,Atherosclerosis without MCC,Vascular Medicine,Circulatory System,Moderate,Medical,Medium
305,Hypertension with MCC,Vascular Medicine,Circulatory System,Minor,Medical,Medium
306,Hypertension without MCC,Vascular Medicine,Circulatory System,Major,Medical,High
307,Cardiac Congenital & Valvular Disorders with MCC,Vascular Medicine,Circulatory System,Moderate,Medical,Medium
308,Cardiac Arrest Unexplained,Cardiac Surgery,Circulatory System,Severe,Surgical,Very High
309,Cardiac Arrhythmia & Conduction Disorders with MCC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
310,Cardiac Arrhythmia & Conduction Disorders with CC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
311,Cardiac Arrhythmia & Conduction Disorders without CC/MCC,Cardiology,Circulatory System,Major,Medical,High
312,Syncope & Collapse,Cardiology,Circulatory System,Moderate,Medical,Medium
313,Chest Pain,Cardiology,Circulatory System,Minor,Medical,Low
314,Other Circulatory System Diagnoses with MCC,Cardiology,Circulatory System,Major,Medical,Medium
315,Other Circulatory System Diagnoses with CC,Cardiology,Circulatory System,Moderate,Medical,Medium
326,Stomach Esophageal & Duodenal Procedures with MCC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
327,Stomach Esophageal & Duodenal Procedures with CC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
328,Stomach Esophageal & Duodenal Procedures without CC/MCC,Cardiac Surgery,Circulatory System,Minor,Surgical,High
329,Major Small & Large Bowel Procedures with MCC,Cardiology,Circulatory System,Major,Medical,High
330,Major Small & Large Bowel Procedures with CC,Cardiology,Circulatory System,Moderate,Medical,Medium
377,GI Hemorrhage with MCC,General Surgery,Digestive System,Major,Surgical,High
378,GI Hemorrhage with CC,General Surgery,Digestive System,Moderate,Surgical,Medium
379,GI Hemorrhage without CC/MCC,General Surgery,Digestive System,Minor,Surgical,Medium
380,Complicated Peptic Ulcer with MCC,General Surgery,Digestive System,Major,Surgical,High
381,Complicated Peptic Ulcer with CC,General Surgery,Digestive System,Moderate,Surgical,Medium
382,Complicated Peptic Ulcer without CC/MCC,General Surgery,Digestive System,Minor,Surgical,Medium
392,Esophagitis Gastroenteritis & Miscellaneous Digestive Disorders with MCC,Gastroenterology,Digestive System,Major,Medical,High
432,Major Joint Replacement or Reattachment of Lower Extremity with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,Very High
433,Major Joint Replacement or Reattachment of Lower Extremity without MCC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,High
439,Disorders of Pancreas Except Malignancy with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,High
460,Spinal Fusion Except Cervical with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,Very High
461,Spinal Fusion Except Cervical without MCC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,High
462,Spinal Fusion Except Cervical without CC/MCC,Orthopedic Surgery,Musculoskeletal System,Minor,Surgical,High
463,Wound Debridement & Skin Graft Except Hand for Musculoskeletal & Connective Tissue Disorders with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,Very High
464,Wound Debridement & Skin Graft Except Hand for Musculoskeletal & Connective Tissue Disorders with CC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,High
465,Wound Debridement & Skin Graft Except Hand for Musculoskeletal & Connective Tissue Disorders without CC/MCC,Orthopedic Surgery,Musculoskeletal System,Minor,Surgical,High
466,Revision of Hip or Knee Replacement with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,High
467,Revision of Hip or Knee Replacement with CC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,Medium
468,Revision of Hip or Knee Replacement without CC/MCC,Orthopedic Surgery,Musculoskeletal System,Minor,Surgical,Medium
469,Major Joint Replacement or Reattachment of Lower Extremity with MCC or Total Ankle Replacement,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,High
470,Major Joint Replacement or Reattachment of Lower Extremity without MCC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,Medium
471,Cervical Spinal Fusion with MCC,Orthopedic Surgery,Musculoskeletal System,Minor,Surgical,Medium
480,Hip & Femur Procedures Except Major Joint with MCC,Orthopedic Surgery,Musculoskeletal System,Major,Surgical,Very High
481,Hip & Femur Procedures Except Major Joint with CC,Orthopedic Surgery,Musculoskeletal System,Moderate,Surgical,High
482,Hip & Femur Procedures Except Major Joint without CC/MCC,Orthopedic Surgery,Musculoskeletal System,Minor,Surgical,High
552,Medical Back Problems with MCC,Urology,Urinary System,Major,Surgical,High
603,Cellulitis with MCC,Nephrology,Urinary System,Major,Medical,High
683,Renal Failure with MCC,Obstetrics,Female Reproductive,Minor,Medical,Medium
690,Kidney & Urinary Tract Infections with MCC,Nephrology,Urinary System,Major,Medical,High
691,Kidney & Urinary Tract Infections without MCC,Nephrology,Urinary System,Moderate,Medical,Medium
743,Uterine & Adnexa Procedures for Non-Malignancy with CC/MCC,Urology,Urinary System,Major,Surgical,High
765,Cesarean Section with CC/MCC,Obstetrics,Female Reproductive,Minor,Medical,Low
766,Cesarean Section without CC/MCC,Obstetrics,Female Reproductive,Minor,Medical,Low
774,Vaginal Delivery with Complicating Diagnoses,Obstetrics,Female Reproductive,Minor,Medical,Low
775,Vaginal Delivery without Complicating Diagnoses,Obstetrics,Female Reproductive,Minor,Medical,Low
853,Infectious & Parasitic Diseases with O.R. Procedure with MCC,Infectious Disease,Multiple Systems,Major,Medical,High
871,Septicemia or Severe Sepsis with MV >96 Hours,Infectious Disease,Multiple Systems,Major,Medical,High
872,Septicemia or Severe Sepsis without MV >96 Hours with MCC,Infectious Disease,Multiple Systems,Moderate,Medical,Medium
897,Alcohol/Drug Abuse or Dependence with Rehabilitation Therapy,Substance Abuse,Behavioral Health,Major,Medical,High
945,Rehabilitation with CC/MCC,Critical Care,Multiple Systems,Severe,Medical,Very High
946,Rehabilitation without CC/MCC,Critical Care,Multiple Systems,Severe,Medical,Very High
947,Signs & Symptoms with MCC,Critical Care,Multiple Systems,Major,Medical,Very High
